File	type	entity
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Barnet
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Kent
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Gracechurch Street
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Epsom
austen-pride.tsv	LOCATION	Clapham
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Clapham
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Gracechurch
austen-pride.tsv	LOCATION	Epsom
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Balls
austen-pride.tsv	LOCATION	Gracechurch
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Haggerston
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Great Britain
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Stoke
